acquisition,event_type,status,detail
eeg,FINAL_COMPENSATION,ok,
eeg,POINTER_ON,ok,
eeg,PRACTICE_DELIVERY_END,ok,
eeg,PRACTICE_DELIVERY_START,ok,
eeg,PRACTICE_VALUE_RECALL,ok,
eeg,PRACTICE_WORD,ok,
eeg,REC_START,ok,
eeg,REC_STOP,ok,
eeg,REC_WORD,ok,
eeg,REC_WORD_VV,ok,
eeg,SESS_END,ok,
eeg,SESS_START,ok,
eeg,TL_END,ok,
eeg,TL_START,ok,
eeg,TRIAL_END,ok,
eeg,TRIAL_START,ok,
eeg,VALUE_RECALL,ok,
eeg,VIDEO_START,ok,
eeg,VIDEO_STOP,ok,
eeg,WORD,ok,
eeg,store mappings,ok,
