subject,experiment,session,comparison,source_a,source_b,n_common_channels,n_exact_diff_channels,n_close_diff_channels,mean_abs_diff,max_abs_diff,mean_signed_diff,std_diff,mse,n_events,n_close_diff_events,close_diff_event_indices,exact_diff_channels,close_diff_channels,event_type,acquisition
LTP606,ValueCourier,0,BIDS vs CMLReader,BIDS,CMLReader,128,0,0,0.0,0.0,0.0,0.0,0.0,1,0,[],[],[],FINAL_COMPENSATION,eeg
LTP606,ValueCourier,0,BIDS vs CMLReader,BIDS,CMLReader,128,0,0,0.0,0.0,0.0,0.0,0.0,13,0,[],[],[],POINTER_ON,eeg
LTP606,ValueCourier,0,BIDS vs CMLReader,BIDS,CMLReader,128,0,0,0.0,0.0,0.0,0.0,0.0,2,0,[],[],[],PRACTICE_DELIVERY_END,eeg
LTP606,ValueCourier,0,BIDS vs CMLReader,BIDS,CMLReader,128,0,0,0.0,0.0,0.0,0.0,0.0,2,0,[],[],[],PRACTICE_DELIVERY_START,eeg
LTP606,ValueCourier,0,BIDS vs CMLReader,BIDS,CMLReader,128,0,0,0.0,0.0,0.0,0.0,0.0,2,0,[],[],[],PRACTICE_VALUE_RECALL,eeg
LTP606,ValueCourier,0,BIDS vs CMLReader,BIDS,CMLReader,128,0,0,0.0,0.0,0.0,0.0,0.0,30,0,[],[],[],PRACTICE_WORD,eeg
LTP606,ValueCourier,0,BIDS vs CMLReader,BIDS,CMLReader,128,0,0,0.0,0.0,0.0,0.0,0.0,7,0,[],[],[],REC_START,eeg
LTP606,ValueCourier,0,BIDS vs CMLReader,BIDS,CMLReader,128,0,0,0.0,0.0,0.0,0.0,0.0,7,0,[],[],[],REC_STOP,eeg
LTP606,ValueCourier,0,BIDS vs CMLReader,BIDS,CMLReader,128,0,0,0.0,0.0,0.0,0.0,0.0,29,0,[],[],[],REC_WORD,eeg
LTP606,ValueCourier,0,BIDS vs CMLReader,BIDS,CMLReader,128,0,0,0.0,0.0,0.0,0.0,0.0,3,0,[],[],[],REC_WORD_VV,eeg
LTP606,ValueCourier,0,BIDS vs CMLReader,BIDS,CMLReader,128,0,0,0.0,0.0,0.0,0.0,0.0,1,0,[],[],[],SESS_END,eeg
LTP606,ValueCourier,0,BIDS vs CMLReader,BIDS,CMLReader,128,0,0,0.0,0.0,0.0,0.0,0.0,50,0,[],[],[],SESS_START,eeg
LTP606,ValueCourier,0,BIDS vs CMLReader,BIDS,CMLReader,128,0,0,0.0,0.0,0.0,0.0,0.0,1,0,[],[],[],TL_END,eeg
LTP606,ValueCourier,0,BIDS vs CMLReader,BIDS,CMLReader,128,0,0,0.0,0.0,0.0,0.0,0.0,1,0,[],[],[],TL_START,eeg
LTP606,ValueCourier,0,BIDS vs CMLReader,BIDS,CMLReader,128,0,0,0.0,0.0,0.0,0.0,0.0,5,0,[],[],[],TRIAL_END,eeg
LTP606,ValueCourier,0,BIDS vs CMLReader,BIDS,CMLReader,128,0,0,0.0,0.0,0.0,0.0,0.0,5,0,[],[],[],TRIAL_START,eeg
LTP606,ValueCourier,0,BIDS vs CMLReader,BIDS,CMLReader,128,0,0,0.0,0.0,0.0,0.0,0.0,5,0,[],[],[],VALUE_RECALL,eeg
LTP606,ValueCourier,0,BIDS vs CMLReader,BIDS,CMLReader,128,0,0,0.0,0.0,0.0,0.0,0.0,1,0,[],[],[],VIDEO_START,eeg
LTP606,ValueCourier,0,BIDS vs CMLReader,BIDS,CMLReader,128,0,0,0.0,0.0,0.0,0.0,0.0,1,0,[],[],[],VIDEO_STOP,eeg
LTP606,ValueCourier,0,BIDS vs CMLReader,BIDS,CMLReader,128,0,0,0.0,0.0,0.0,0.0,0.0,75,0,[],[],[],WORD,eeg
LTP606,ValueCourier,0,BIDS vs CMLReader,BIDS,CMLReader,128,0,0,0.0,0.0,0.0,0.0,0.0,1,0,[],[],[],store mappings,eeg
