subject,experiment,session,comparison,channel,event,n_close_diff,mean_abs_diff,max_abs_diff,mean_signed_diff,std_diff,mse_channel,time_compared_samples,event_type,acquisition
LTP606,ValueCourier,0,BIDS vs CMLReader,A1,0,0,0.0,0.0,0.0,0.0,0.0,6145,FINAL_COMPENSATION,eeg
LTP606,ValueCourier,0,BIDS vs CMLReader,A10,0,0,0.0,0.0,0.0,0.0,0.0,6145,FINAL_COMPENSATION,eeg
LTP606,ValueCourier,0,BIDS vs CMLReader,A11,0,0,0.0,0.0,0.0,0.0,0.0,6145,FINAL_COMPENSATION,eeg
LTP606,ValueCourier,0,BIDS vs CMLReader,A12,0,0,0.0,0.0,0.0,0.0,0.0,6145,FINAL_COMPENSATION,eeg
LTP606,ValueCourier,0,BIDS vs CMLReader,A13,0,0,0.0,0.0,0.0,0.0,0.0,6145,FINAL_COMPENSATION,eeg
LTP606,ValueCourier,0,BIDS vs CMLReader,A14,0,0,0.0,0.0,0.0,0.0,0.0,6145,FINAL_COMPENSATION,eeg
LTP606,ValueCourier,0,BIDS vs CMLReader,A15,0,0,0.0,0.0,0.0,0.0,0.0,6145,FINAL_COMPENSATION,eeg
LTP606,ValueCourier,0,BIDS vs CMLReader,A16,0,0,0.0,0.0,0.0,0.0,0.0,6145,FINAL_COMPENSATION,eeg
LTP606,ValueCourier,0,BIDS vs CMLReader,A17,0,0,0.0,0.0,0.0,0.0,0.0,6145,FINAL_COMPENSATION,eeg
LTP606,ValueCourier,0,BIDS vs CMLReader,A18,0,0,0.0,0.0,0.0,0.0,0.0,6145,FINAL_COMPENSATION,eeg
LTP606,ValueCourier,0,BIDS vs CMLReader,A19,0,0,0.0,0.0,0.0,0.0,0.0,6145,FINAL_COMPENSATION,eeg
LTP606,ValueCourier,0,BIDS vs CMLReader,A2,0,0,0.0,0.0,0.0,0.0,0.0,6145,FINAL_COMPENSATION,eeg
LTP606,ValueCourier,0,BIDS vs CMLReader,A20,0,0,0.0,0.0,0.0,0.0,0.0,6145,FINAL_COMPENSATION,eeg
LTP606,ValueCourier,0,BIDS vs CMLReader,A21,0,0,0.0,0.0,0.0,0.0,0.0,6145,FINAL_COMPENSATION,eeg
LTP606,ValueCourier,0,BIDS vs CMLReader,A22,0,0,0.0,0.0,0.0,0.0,0.0,6145,FINAL_COMPENSATION,eeg
LTP606,ValueCourier,0,BIDS vs CMLReader,A23,0,0,0.0,0.0,0.0,0.0,0.0,6145,FINAL_COMPENSATION,eeg
LTP606,ValueCourier,0,BIDS vs CMLReader,A24,0,0,0.0,0.0,0.0,0.0,0.0,6145,FINAL_COMPENSATION,eeg
LTP606,ValueCourier,0,BIDS vs CMLReader,A25,0,0,0.0,0.0,0.0,0.0,0.0,6145,FINAL_COMPENSATION,eeg
LTP606,ValueCourier,0,BIDS vs CMLReader,A26,0,0,0.0,0.0,0.0,0.0,0.0,6145,FINAL_COMPENSATION,eeg
LTP606,ValueCourier,0,BIDS vs CMLReader,A27,0,0,0.0,0.0,0.0,0.0,0.0,6145,FINAL_COMPENSATION,eeg
LTP606,ValueCourier,0,BIDS vs CMLReader,A28,0,0,0.0,0.0,0.0,0.0,0.0,6145,FINAL_COMPENSATION,eeg
LTP606,ValueCourier,0,BIDS vs CMLReader,A29,0,0,0.0,0.0,0.0,0.0,0.0,6145,FINAL_COMPENSATION,eeg
LTP606,ValueCourier,0,BIDS vs CMLReader,A3,0,0,0.0,0.0,0.0,0.0,0.0,6145,FINAL_COMPENSATION,eeg
LTP606,ValueCourier,0,BIDS vs CMLReader,A30,0,0,0.0,0.0,0.0,0.0,0.0,6145,FINAL_COMPENSATION,eeg
LTP606,ValueCourier,0,BIDS vs CMLReader,A31,0,0,0.0,0.0,0.0,0.0,0.0,6145,FINAL_COMPENSATION,eeg
LTP606,ValueCourier,0,BIDS vs CMLReader,A32,0,0,0.0,0.0,0.0,0.0,0.0,6145,FINAL_COMPENSATION,eeg
LTP606,ValueCourier,0,BIDS vs CMLReader,A4,0,0,0.0,0.0,0.0,0.0,0.0,6145,FINAL_COMPENSATION,eeg
LTP606,ValueCourier,0,BIDS vs CMLReader,A5,0,0,0.0,0.0,0.0,0.0,0.0,6145,FINAL_COMPENSATION,eeg
LTP606,ValueCourier,0,BIDS vs CMLReader,A6,0,0,0.0,0.0,0.0,0.0,0.0,6145,FINAL_COMPENSATION,eeg
LTP606,ValueCourier,0,BIDS vs CMLReader,A7,0,0,0.0,0.0,0.0,0.0,0.0,6145,FINAL_COMPENSATION,eeg
LTP606,ValueCourier,0,BIDS vs CMLReader,A8,0,0,0.0,0.0,0.0,0.0,0.0,6145,FINAL_COMPENSATION,eeg
LTP606,ValueCourier,0,BIDS vs CMLReader,A9,0,0,0.0,0.0,0.0,0.0,0.0,6145,FINAL_COMPENSATION,eeg
LTP606,ValueCourier,0,BIDS vs CMLReader,B1,0,0,0.0,0.0,0.0,0.0,0.0,6145,FINAL_COMPENSATION,eeg
LTP606,ValueCourier,0,BIDS vs CMLReader,B10,0,0,0.0,0.0,0.0,0.0,0.0,6145,FINAL_COMPENSATION,eeg
LTP606,ValueCourier,0,BIDS vs CMLReader,B11,0,0,0.0,0.0,0.0,0.0,0.0,6145,FINAL_COMPENSATION,eeg
LTP606,ValueCourier,0,BIDS vs CMLReader,B12,0,0,0.0,0.0,0.0,0.0,0.0,6145,FINAL_COMPENSATION,eeg
LTP606,ValueCourier,0,BIDS vs CMLReader,B13,0,0,0.0,0.0,0.0,0.0,0.0,6145,FINAL_COMPENSATION,eeg
LTP606,ValueCourier,0,BIDS vs CMLReader,B14,0,0,0.0,0.0,0.0,0.0,0.0,6145,FINAL_COMPENSATION,eeg
LTP606,ValueCourier,0,BIDS vs CMLReader,B15,0,0,0.0,0.0,0.0,0.0,0.0,6145,FINAL_COMPENSATION,eeg
LTP606,ValueCourier,0,BIDS vs CMLReader,B16,0,0,0.0,0.0,0.0,0.0,0.0,6145,FINAL_COMPENSATION,eeg
LTP606,ValueCourier,0,BIDS vs CMLReader,B17,0,0,0.0,0.0,0.0,0.0,0.0,6145,FINAL_COMPENSATION,eeg
LTP606,ValueCourier,0,BIDS vs CMLReader,B18,0,0,0.0,0.0,0.0,0.0,0.0,6145,FINAL_COMPENSATION,eeg
LTP606,ValueCourier,0,BIDS vs CMLReader,B19,0,0,0.0,0.0,0.0,0.0,0.0,6145,FINAL_COMPENSATION,eeg
LTP606,ValueCourier,0,BIDS vs CMLReader,B2,0,0,0.0,0.0,0.0,0.0,0.0,6145,FINAL_COMPENSATION,eeg
LTP606,ValueCourier,0,BIDS vs CMLReader,B20,0,0,0.0,0.0,0.0,0.0,0.0,6145,FINAL_COMPENSATION,eeg
LTP606,ValueCourier,0,BIDS vs CMLReader,B21,0,0,0.0,0.0,0.0,0.0,0.0,6145,FINAL_COMPENSATION,eeg
LTP606,ValueCourier,0,BIDS vs CMLReader,B22,0,0,0.0,0.0,0.0,0.0,0.0,6145,FINAL_COMPENSATION,eeg
LTP606,ValueCourier,0,BIDS vs CMLReader,B23,0,0,0.0,0.0,0.0,0.0,0.0,6145,FINAL_COMPENSATION,eeg
LTP606,ValueCourier,0,BIDS vs CMLReader,B24,0,0,0.0,0.0,0.0,0.0,0.0,6145,FINAL_COMPENSATION,eeg
LTP606,ValueCourier,0,BIDS vs CMLReader,B25,0,0,0.0,0.0,0.0,0.0,0.0,6145,FINAL_COMPENSATION,eeg
LTP606,ValueCourier,0,BIDS vs CMLReader,B26,0,0,0.0,0.0,0.0,0.0,0.0,6145,FINAL_COMPENSATION,eeg
LTP606,ValueCourier,0,BIDS vs CMLReader,B27,0,0,0.0,0.0,0.0,0.0,0.0,6145,FINAL_COMPENSATION,eeg
LTP606,ValueCourier,0,BIDS vs CMLReader,B28,0,0,0.0,0.0,0.0,0.0,0.0,6145,FINAL_COMPENSATION,eeg
LTP606,ValueCourier,0,BIDS vs CMLReader,B29,0,0,0.0,0.0,0.0,0.0,0.0,6145,FINAL_COMPENSATION,eeg
LTP606,ValueCourier,0,BIDS vs CMLReader,B3,0,0,0.0,0.0,0.0,0.0,0.0,6145,FINAL_COMPENSATION,eeg
LTP606,ValueCourier,0,BIDS vs CMLReader,B30,0,0,0.0,0.0,0.0,0.0,0.0,6145,FINAL_COMPENSATION,eeg
LTP606,ValueCourier,0,BIDS vs CMLReader,B31,0,0,0.0,0.0,0.0,0.0,0.0,6145,FINAL_COMPENSATION,eeg
LTP606,ValueCourier,0,BIDS vs CMLReader,B32,0,0,0.0,0.0,0.0,0.0,0.0,6145,FINAL_COMPENSATION,eeg
LTP606,ValueCourier,0,BIDS vs CMLReader,B4,0,0,0.0,0.0,0.0,0.0,0.0,6145,FINAL_COMPENSATION,eeg
LTP606,ValueCourier,0,BIDS vs CMLReader,B5,0,0,0.0,0.0,0.0,0.0,0.0,6145,FINAL_COMPENSATION,eeg
LTP606,ValueCourier,0,BIDS vs CMLReader,B6,0,0,0.0,0.0,0.0,0.0,0.0,6145,FINAL_COMPENSATION,eeg
LTP606,ValueCourier,0,BIDS vs CMLReader,B7,0,0,0.0,0.0,0.0,0.0,0.0,6145,FINAL_COMPENSATION,eeg
LTP606,ValueCourier,0,BIDS vs CMLReader,B8,0,0,0.0,0.0,0.0,0.0,0.0,6145,FINAL_COMPENSATION,eeg
LTP606,ValueCourier,0,BIDS vs CMLReader,B9,0,0,0.0,0.0,0.0,0.0,0.0,6145,FINAL_COMPENSATION,eeg
